Consent,SM.use,Most.used.SM,Time.spent.SM,SM.usage_1,SM.usage_2,SM.usage_3,SM.usage_4,SM.usage_5,SM.usage_6,Cyberbyllying.exp_1,Cyberbyllying.exp_2,Cyberbyllying.exp_3,Cyberbyllying.exp_4,Cyberbyllying.exp_5,Cyberbyllying.exp_6,COVID.19.Scale_1,COVID.19.Scale_2,COVID.19.Scale_3,COVID.19.Scale_4,COVID.19.Scale_5,COVID.19.Scale_6,COVID.19.Scale_7,Cyberbullying.health_1,Cyberbullying.health_2,Cyberbullying.health_3,Cyberbullying.health_4,Cyberbullying.health_5,Cyberbullying.health_6,Cyberbullying.health_7,Age,Gender
1,1,7,3,4,2,1,2,1,2,1,2,1,1,1,1,4,4,5,2,4,2,2,4,4,4,3,2,2,3,21,1
1,1,1,3,1,3,2,3,2,2,1,1,1,1,3,1,4,4,2,2,4,4,2,4,4,4,4,3,3,3,22,1
1,1,1,2,2,2,1,4,4,1,3,3,2,4,1,2,3,3,3,1,5,4,5,1,4,5,3,5,5,2,22,1
1,1,1,2,4,4,4,4,5,2,4,2,2,3,2,2,5,5,5,4,4,4,5,5,4,3,4,4,4,4,21,2
1,1,1,2,4,1,2,4,4,4,1,1,1,2,1,1,5,5,4,4,4,4,4,5,4,5,4,4,1,5,19,2
1,1,2,2,3,3,4,2,4,1,1,2,2,1,2,1,5,5,4,3,2,1,3,3,5,5,3,3,1,1,27,5
1,1,9,1,3,3,2,2,2,4,4,5,5,2,4,4,4,3,4,3,3,2,2,4,4,4,4,2,2,2,23,1
1,1,9,2,2,1,3,4,2,1,2,1,2,2,1,1,1,1,1,1,1,2,3,2,2,1,2,2,2,2,21,1
1,1,9,2,5,2,4,2,3,4,1,1,1,1,1,1,5,5,3,1,3,3,2,5,4,1,3,3,3,3,22,2
1,1,9,2,4,3,4,3,2,2,1,1,1,1,3,1,5,5,5,1,5,5,4,5,1,4,2,1,1,2,28,2
1,1,1,2,2,2,3,4,1,2,1,1,1,2,5,1,4,5,3,1,3,2,2,4,2,4,4,2,2,4,22,1
1,1,7,3,4,2,3,3,4,2,1,4,1,2,1,2,4,5,4,4,4,4,4,4,4,4,4,4,3,4,27,2
1,1,1,3,4,2,2,3,3,2,2,5,4,5,4,4,5,4,3,4,3,4,4,5,2,4,4,3,4,4,20,2
1,1,2,2,5,2,1,4,5,2,4,3,5,3,5,5,5,5,3,2,2,1,5,5,4,4,4,2,1,1,21,2
1,1,3,2,5,4,4,5,4,3,2,3,1,1,1,1,4,5,1,2,1,2,3,5,2,4,4,4,2,5,21,2
1,1,9,3,5,4,4,5,4,4,1,1,1,1,1,1,5,5,4,2,4,2,4,5,5,5,4,2,2,2,21,2
1,1,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,22,2
1,1,1,2,1,2,1,4,4,2,4,5,5,5,5,5,4,4,2,1,2,4,4,4,4,4,5,2,5,2,21,2
1,1,9,3,4,4,3,3,4,3,3,4,3,3,3,2,4,3,4,4,4,4,2,4,4,4,4,4,3,3,21,2
1,1,2,3,5,4,4,5,4,4,5,3,4,4,4,4,4,4,4,4,5,4,3,4,4,4,4,4,5,5,19,2
1,1,2,2,5,4,3,2,5,3,5,4,5,3,5,5,5,5,3,1,4,3,3,4,3,4,2,3,4,2,22,5
1,1,2,2,5,2,1,4,5,2,2,4,5,4,5,5,5,5,5,4,1,3,4,4,4,4,5,2,1,1,21,2
1,1,1,2,5,3,4,4,3,4,4,4,3,4,4,5,5,5,5,4,3,4,4,4,4,3,4,4,3,4,20,2
1,1,9,3,4,4,2,4,1,1,1,1,1,1,1,1,4,4,3,2,4,4,3,4,3,2,1,1,1,1,21,1
1,1,7,2,4,2,1,3,1,3,5,5,5,4,3,4,4,3,2,1,2,2,1,3,3,4,3,4,2,1,20,1
1,1,3,2,2,4,3,2,3,2,3,2,2,1,1,1,4,3,4,1,5,2,2,5,4,4,4,4,4,4,25,1
1,1,2,3,4,4,4,4,4,4,4,5,5,5,4,4,2,2,2,4,3,5,3,3,2,4,3,4,4,4,21,1
1,1,1,2,5,3,4,3,2,4,1,4,4,3,5,4,4,4,2,1,2,2,2,4,4,4,4,4,4,3,19,2
1,1,1,2,4,1,2,4,1,1,5,4,5,3,4,4,5,5,5,1,5,3,2,4,3,3,3,1,1,3,20,2
1,1,1,2,4,2,3,3,2,2,4,4,4,5,5,5,4,4,2,2,3,4,4,4,3,2,3,2,3,2,19,1
1,1,2,2,4,1,1,1,2,1,1,5,4,2,3,3,5,4,4,1,4,2,1,2,2,3,1,2,1,2,20,1
1,1,1,2,4,3,1,4,4,1,5,5,5,5,5,5,5,5,1,1,1,1,3,4,4,2,3,4,3,3,19,2
1,1,7,3,5,2,4,4,5,2,1,4,4,3,5,2,5,5,4,5,1,4,2,4,2,3,3,4,1,2,21,1
1,1,2,2,4,4,3,4,2,3,5,5,5,4,5,5,4,5,3,1,3,2,2,4,4,2,4,2,1,1,19,2
1,1,7,2,4,2,3,2,4,1,5,5,4,4,5,5,4,4,4,2,4,2,3,4,4,4,4,2,2,4,22,2
1,1,2,2,5,4,2,1,1,1,4,4,4,2,2,4,4,2,3,1,1,2,2,4,3,3,4,1,2,2,19,1
1,1,1,2,5,3,1,1,4,1,4,3,4,2,2,4,5,4,3,1,3,3,2,2,4,1,2,1,1,1,19,1
1,1,2,2,5,4,4,2,3,3,4,5,5,2,3,4,5,5,4,1,4,5,5,5,4,5,5,4,3,4,18,1
1,1,6,2,5,4,1,3,3,4,5,5,4,4,5,5,4,5,5,1,4,4,2,4,3,3,2,3,3,2,19,2
1,1,7,2,4,1,4,1,3,1,5,5,5,2,3,5,4,5,4,1,4,2,4,5,5,5,5,3,4,4,22,2
1,1,9,3,5,5,2,4,1,1,1,2,1,2,3,2,1,2,4,1,4,4,1,2,2,2,2,2,2,1,23,2
1,1,2,2,4,5,2,4,4,1,4,4,1,4,4,4,5,5,4,5,4,4,4,4,2,2,2,1,1,1,18,1
1,1,2,3,5,4,1,2,3,1,4,5,4,4,5,4,3,2,2,1,3,2,4,4,4,5,5,4,3,3,19,2
1,1,1,2,5,2,3,2,1,3,2,4,4,3,4,5,4,1,4,1,2,4,3,4,3,3,3,2,1,2,19,2
1,1,2,2,1,4,4,5,5,2,4,4,4,3,4,5,5,5,4,2,2,4,4,5,4,4,4,3,2,4,23,2
1,1,2,2,5,3,3,5,3,5,5,5,5,4,5,5,5,4,5,1,4,2,1,4,4,3,4,1,1,1,23,2
1,1,2,2,4,3,4,5,5,2,1,1,1,2,1,1,5,5,5,4,5,2,3,3,2,2,2,1,1,1,20,1
1,1,7,2,5,2,4,3,3,1,5,2,5,2,4,1,4,4,2,1,4,2,1,5,5,5,2,1,1,1,21,1
1,1,2,2,5,2,2,2,1,1,4,5,5,3,4,5,4,4,1,1,2,2,2,4,3,3,3,1,1,1,22,1
1,1,1,3,5,1,1,1,4,1,1,1,1,1,1,1,5,4,1,1,1,1,1,3,3,3,3,3,3,3,22,1
1,1,6,2,5,4,1,1,1,1,5,4,5,3,3,3,4,5,3,1,4,2,1,4,4,5,5,1,1,2,22,1
1,1,1,2,4,1,2,1,2,2,1,1,1,1,1,1,4,3,1,1,1,2,3,3,3,3,3,3,3,3,21,1
1,1,1,1,1,3,3,2,2,2,3,3,5,4,2,2,5,1,2,1,1,2,2,1,2,2,3,5,2,1,23,1
1,1,2,3,5,3,3,3,3,1,1,1,1,1,3,2,5,5,3,1,3,2,1,3,3,3,3,3,3,3,20,2
1,1,3,3,4,4,4,4,1,5,4,4,4,2,5,4,5,5,5,4,4,5,5,4,4,4,4,2,2,5,21,1
1,1,1,2,4,2,3,3,3,1,1,1,1,1,1,1,3,3,4,4,4,4,4,4,3,3,4,3,3,4,18,2
1,1,7,2,4,4,4,5,2,4,1,4,2,4,4,4,5,5,5,5,5,5,5,4,4,4,4,3,3,4,19,1
1,1,7,2,4,3,1,4,4,1,1,1,1,1,2,1,1,2,3,1,4,1,1,4,1,1,1,1,1,1,24,1
1,1,7,1,2,3,3,1,2,1,1,1,1,1,1,1,2,1,1,1,1,1,1,3,3,3,3,1,1,1,24,1
1,1,7,3,5,1,1,1,4,1,1,1,1,1,1,1,2,5,1,1,2,5,1,4,1,2,1,1,1,1,22,3
1,1,3,2,5,2,4,5,4,4,1,1,1,1,1,1,5,5,4,1,2,1,4,5,4,4,3,3,3,3,19,3
1,1,1,3,5,2,1,4,4,2,1,2,1,1,1,1,4,4,2,2,2,2,2,3,2,3,4,1,1,1,21,2
